User,User (Team),Player 1 (Captain),Player 2 (Vice Captain),Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11
Calicut tigers,Calicut tigers (2),Jesper Karlsson,Cody Gakpo,Dani De Wit,Ibrahim Sangare,Joey Veerman,Olivier Boscagli,Owen Wijndal,Peter Vindahl,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis
Calicut tigers,Calicut tigers (3),Cody Gakpo,Jesper Karlsson,Dani De Wit,Ibrahim Sangare,Joey Veerman,Olivier Boscagli,Owen Wijndal,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis,Yvon Mvogo
Calicut tigers,Calicut tigers (4),Cody Gakpo,Jesper Karlsson,Dani De Wit,Ibrahim Sangare,Joey Veerman,Olivier Boscagli,Owen Wijndal,Peter Vindahl,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis
Calicut tigers,Calicut tigers (5),Cody Gakpo,Jesper Karlsson,Dani De Wit,Ibrahim Sangare,Joey Veerman,Mario Gotze,Mauro Junior,Owen Wijndal,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis
Calicut tigers,Calicut tigers (6),Jesper Karlsson,Cody Gakpo,Dani De Wit,Ibrahim Sangare,Joey Veerman,Mario Gotze,Mauro Junior,Owen Wijndal,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis
Captain Cool 22 XI,Captain Cool 22 XI (1),Bruno Martins Indi,Cody Gakpo,Dani De Wit,Fredrik Midtsjo,Ibrahim Sangare,Mario Gotze,Mauro Junior,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara
casandra,casandra (1),Cody Gakpo,Mario Gotze,Dani De Wit,Joey Veerman,Jordan Teze,Olivier Boscagli,Owen Wijndal,Peter Vindahl,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis
cgxyz,cgxyz (1),Vangelis Pavlidis,Jesper Karlsson,Bruno Martins Indi,Cody Gakpo,Dani De Wit,Fredrik Midtsjo,Ibrahim Sangare,Mauro Junior,Peter Vindahl,Phillipp Mwene,Yukinari Sugawara
Chaaarrrrrlllliiii,Chaaarrrrrlllliiii (1),Phillipp Mwene,Ibrahim Sangare,Bruno Martins Indi,Cody Gakpo,Dani De Wit,Fredrik Midtsjo,Jordy Clasie,Mauro Junior,Olivier Boscagli,Peter Vindahl,Vangelis Pavlidis
"chaccha widhayak hain
hamare","chaccha widhayak hain
hamare (1)",Cody Gakpo,Phillipp Mwene,Bruno Martins Indi,Dani De Wit,Fredrik Midtsjo,Ibrahim Sangare,Mario Gotze,Mauro Junior,Peter Vindahl,Vangelis Pavlidis,Yukinari Sugawara
chaitanya4444,chaitanya4444 (1),Cody Gakpo,Phillipp Mwene,Dani De Wit,Fredrik Midtsjo,Ibrahim Sangare,Mario Gotze,Mauro Junior,Ritsu Doan,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
ChallengerPKT,ChallengerPKT (1),Cody Gakpo,Joey Veerman,Dani De Wit,Ibrahim Sangare,Jesper Karlsson,Mario Gotze,Mauro Junior,Olivier Boscagli,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis
Champions kkr gg,Champions kkr gg (1),Cody Gakpo,Mario Gotze,Dani De Wit,Ibrahim Sangare,Jesper Karlsson,Mauro Junior,Olivier Boscagli,Owen Wijndal,Phillipp Mwene,Vangelis Pavlidis,Yvon Mvogo
"CHANCHAL ARMY
209075","CHANCHAL ARMY
209075 (1)",Cody Gakpo,Ibrahim Sangare,Dani De Wit,Fredrik Midtsjo,Jesper Karlsson,Mauro Junior,Olivier Boscagli,Pantelis Chatzidiakos,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis
chand aggarwal,chand aggarwal (1),Mario Gotze,Cody Gakpo,Armando Obispo,Bruno Martins Indi,Dani De Wit,Joey Veerman,Mauro Junior,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara
CHAND FWF,CHAND FWF (1),Cody Gakpo,Jesper Karlsson,Fredrik Midtsjo,Ibrahim Sangare,Jordan Teze,Jordy Clasie,Mario Gotze,Mauro Junior,Pantelis Chatzidiakos,Peter Vindahl,Ritsu Doan
"CHAND S Kh Memorial
Culb","CHAND S Kh Memorial
Culb (1)",Cody Gakpo,Mario Gotze,Bruno Martins Indi,Dani De Wit,Fredrik Midtsjo,Ibrahim Sangare,Mauro Junior,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara
Chandan Gupta 24,Chandan Gupta 24 (1),Ibrahim Sangare,Cody Gakpo,Bruno Martins Indi,Dani De Wit,Fredrik Midtsjo,Mario Gotze,Mauro Junior,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara
Chandan United 0911,"Chandan United 0911
(1)",Cody Gakpo,Jesper Karlsson,Armando Obispo,Dani De Wit,Joey Veerman,Owen Wijndal,Pantelis Chatzidiakos,Peter Vindahl,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis
Chandra Chetia,Chandra Chetia (1),Cody Gakpo,Phillipp Mwene,Bruno Martins Indi,Dani De Wit,Fredrik Midtsjo,Jesper Karlsson,Mario Gotze,Mauro Junior,Peter Vindahl,Vangelis Pavlidis,Yukinari Sugawara
"CHANDRA KINGSMEN
111005","CHANDRA KINGSMEN
111005 (1)",Phillipp Mwene,Fredrik Midtsjo,Bruno Martins Indi,Cody Gakpo,Dani De Wit,Ibrahim Sangare,Mario Gotze,Mauro Junior,Peter Vindahl,Vangelis Pavlidis,Yukinari Sugawara
"CHANDRAKAN
DAREDEVILS 210192","CHANDRAKAN
DAREDEVILS 210192
(1)",Bruno Martins Indi,Ibrahim Sangare,Armando Obispo,Carlos Vinicius,Fredrik Midtsjo,Mario Gotze,Mauro Junior,Pantelis Chatzidiakos,Ritsu Doan,Yukinari Sugawara,Yvon Mvogo
Chandrasekhar123,Chandrasekhar123 (1),Cody Gakpo,Mario Gotze,Dani De Wit,Ibrahim Sangare,Jesper Karlsson,Mauro Junior,Olivier Boscagli,Owen Wijndal,Phillipp Mwene,Vangelis Pavlidis,Yvon Mvogo
channai expre,channai expre (1),Dani De Wit,Vangelis Pavlidis,Armando Obispo,Bruno Martins Indi,Cody Gakpo,Ibrahim Sangare,Jordan Teze,Mauro Junior,Peter Vindahl,Ritsu Doan,Yukinari Sugawara
channai expre,channai expre (2),Cody Gakpo,Joey Veerman,Armando Obispo,Bruno Martins Indi,Dani De Wit,Ibrahim Sangare,Jordy Clasie,Pantelis Chatzidiakos,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
Charas Baba,Charas Baba (1),Mauro Junior,Armando Obispo,Cody Gakpo,Dani De Wit,Ibrahim Sangare,Jesper Karlsson,Mario Gotze,Pantelis Chatzidiakos,Peter Vindahl,Phillipp Mwene,Yukinari Sugawara
Chaudhari Rony,Chaudhari Rony (1),Cody Gakpo,Ibrahim Sangare,Dani De Wit,Jesper Karlsson,Joey Veerman,Mario Gotze,Mauro Junior,Olivier Boscagli,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis
CHAUDHARY SANJIT,"CHAUDHARY SANJIT
(1)",Cody Gakpo,Jesper Karlsson,Armando Obispo,Dani De Wit,Joey Veerman,Olivier Boscagli,Owen Wijndal,Peter Vindahl,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis
